HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,URL,approx_year_built,cats_allowed,common_charges,community_district_num,coop_condo,date_of_sale,dining_room_type,dogs_allowed,fuel_type,full_address_or_zip_code,garage_exists,kitchen_type,maintenance_cost,model_type,num_bedrooms,num_floors_in_building,num_full_bathrooms,num_half_bathrooms,num_total_rooms,parking_charges,pct_tax_deductibl,sale_price,sq_footage,total_taxes,walk_score,listing_price_to_nearest_1000,url
3UEDKCTP9VQA1JA0YLLQGJQF5UEK7I,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,NA,$0.05 ,Wed Feb 15 22:13:35 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:35 PST 2017,NA,NA,3ZSANO2JCF7ORF08BFX6JHQRU4CFS6,A1F0CN82J2CNY,Approved,Thu Feb 16 00:00:07 PST 2017,Thu Feb 16 00:07:43 PST 2017,Thu Feb 16 00:08:43 PST 2017,2017-02-16 08:09:11 UTC,NA,NA,456,100% (11/11),100% (11/11),100% (11/11),http://www.mlsli.com/homes-for-sale/One-Bay-Club-Dr-Bayside-NY-11360-164768520,1982,no,$821 ,25,condo,2/23/2016,formal,no,gas,"One Bay Club Dr,  Bayside NY, 11360",Underground,eat in,NA,R Line,2,22,2,NA,5,NA,NA,"$675,000 ",NA,"$5,400 ",82,NA,NA
3EQPA8A374WYA9AOZVDX6OJ10YRJZA,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,NA,$0.05 ,Wed Feb 15 22:13:32 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:32 PST 2017,NA,NA,3HMVI3QICJSUXMI93MAAC1AYAG4Y1J,A231MNJJDDF3LS,Approved,Thu Feb 16 06:58:13 PST 2017,Thu Feb 16 07:01:46 PST 2017,Thu Feb 16 07:02:46 PST 2017,2017-02-16 15:03:11 UTC,NA,NA,213,100% (187/187),100% (187/187),100% (187/187),http://www.mlsli.com/homes-for-sale/One-Bay-Club-Dr-Bayside-NY-11360-166831375,1982,no,$546 ,25,condo,2/25/2016,combo,no,oil,"One Bay Club Dr,  Bayside NY, 11360",Yes,eat in,NA,S Line,1,21,1,NA,4,NA,NA,"$468,000 ",NA,"$3,500 ",82,NA,NA
3DIIW4IV8PVMC12TWK270RRSMOZ4I7,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,NA,$0.05 ,Wed Feb 15 22:13:36 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:36 PST 2017,NA,NA,3018Q3ZVOIQHU9JNLAB9F6A4BNSARE,AS2VOXCCFIHCM,Approved,Thu Feb 16 04:44:51 PST 2017,Thu Feb 16 04:48:44 PST 2017,Thu Feb 16 04:49:44 PST 2017,2017-02-16 12:51:11 UTC,NA,NA,233,100% (2/2),100% (2/2),100% (2/2),http://www.mlsli.com/homes-for-sale/54-44-Little-Neck-Pky-Little-Neck-NY-11362-157043874,1961,yes,NA,26,co-op,2/26/2016,combo,no,gas,"54-44 Little Neck Pky,  Little Neck NY, 11362",NA,eat in,$829 ,2 Bedroom 1 Bath,2,1,1,NA,4,NA,NA,"$220,000 ",NA,NA,78,NA,NA
3PCPFX4U40Q9RFN1T93Z0XF52OPFQ9,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,NA,$0.05 ,Wed Feb 15 22:13:42 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:42 PST 2017,NA,NA,32UTUBMZ7GWE6Q5W08GFBEJDEBPVBM,A231MNJJDDF3LS,Approved,Thu Feb 16 04:39:45 PST 2017,Thu Feb 16 04:41:19 PST 2017,Thu Feb 16 04:42:19 PST 2017,2017-02-16 12:43:11 UTC,NA,NA,94,100% (187/187),100% (187/187),100% (187/187),http://www.mlsli.com/homes-for-sale/160-44-17th-Ave-Whitestone-NY-11357-154591935,1960,yes,NA,25,co-op,2/26/2016,combo,no,oil,"160-44 17th Ave,  Whitestone NY, 11357",NA,Combo,$986 ,Upper 3 Br,3,2,1,NA,5,$20 ,NA,"$280,000 ",950,NA,79,NA,NA
3G5RUKN2EC3FN8JWAVBQM7YPUF79NO,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,NA,$0.05 ,Wed Feb 15 22:13:33 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:33 PST 2017,NA,NA,3WR9XG3T63BSA1JR3V3CXMX4I1V47R,A3BKZ14V95ZNR6,Approved,Thu Feb 16 01:47:43 PST 2017,Thu Feb 16 01:54:13 PST 2017,Thu Feb 16 01:55:13 PST 2017,2017-02-16 09:56:11 UTC,NA,NA,390,100% (2/2),100% (2/2),100% (2/2),http://www.mlsli.com/homes-for-sale/71-12-Sutton-Pl-Fresh-Meadows-NY-11365-157422447,1985,no,$238 ,25,condo,2/26/2016,formal,yes,gas,"71-12 Sutton Pl,  Fresh Meadows NY, 11365",yes,eat in,NA,Garden Apt,3,3,2,NA,6,NA,NA,"$533,000 ",1100,"$3,333 ",85,NA,NA
3SX4X51T809BACTD3GP3XR9EQ7UAOJ,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,NA,$0.05 ,Wed Feb 15 22:13:47 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:47 PST 2017,NA,NA,32XVDSJFPZX1SQBR3NMDNPXWTC3M2X,A1KH9UPH0D74QJ,Approved,Thu Feb 16 06:05:23 PST 2017,Thu Feb 16 06:07:15 PST 2017,Thu Feb 16 06:08:15 PST 2017,2017-02-16 14:09:11 UTC,NA,NA,112,100% (80/80),100% (80/80),100% (80/80),http://www.mlsli.com/homes-for-sale/144-30-Sanford-Ave-Flushing-NY-11355-155233682,1960,no,NA,25,co-op,2/26/2016,combo,no,oil,"144-30 Sanford Ave,  Flushing NY, 11355",NA,Combo,"$1,000 ",Imperial Sanford Ow>,2,6,2,NA,5,NA,NA,"$370,000 ",1300,NA,88,NA,NA
3QHITW7OYO9EVO6TITH7MW4E58CAQR,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,NA,$0.05 ,Wed Feb 15 22:13:48 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:48 PST 2017,NA,NA,3OCHAWUVGOK73IEL60UQY2ZOHGAKX2,A3S6UWT0JNCJFE,Approved,Thu Feb 16 06:49:25 PST 2017,Thu Feb 16 06:51:46 PST 2017,Thu Feb 16 06:52:46 PST 2017,2017-02-16 14:53:11 UTC,NA,NA,141,100% (75/75),100% (75/75),100% (63/63),http://www.mlsli.com/homes-for-sale/66-15-Thornton-Pl-Rego-Park-NY-11374-163904378,1962,no,NA,8,co-op,2/26/2016,formal,no,other,"66-15 Thornton Place, Rego Park, NY 11374",NA,combo,NA,Apartment,2,NA,2,NA,5,NA,NA,"$392,000 ",NA,NA,88,NA,NA
3FDWKV9VCN27PIMZW5RH5OW32A7MUS,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,NA,$0.05 ,Wed Feb 15 22:13:51 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:51 PST 2017,NA,NA,3FK0YFF9PZGTF4325P7FCQDKH36VVT,A1KH9UPH0D74QJ,Approved,Thu Feb 16 05:10:00 PST 2017,Thu Feb 16 05:11:36 PST 2017,Thu Feb 16 05:12:36 PST 2017,2017-02-16 13:13:11 UTC,NA,NA,96,100% (80/80),100% (80/80),100% (80/80),http://www.mlsli.com/homes-for-sale/65-45-Yellowstone-Blvd-Forest-Hills-NY-11375-162209054,1955,yes,NA,28,co-op,2/26/2016,NA,yes,oil,"65-45 Yellowstone Blvd,  Forest Hills NY, 11375",NA,efficiency,$587 ,1 Bedroom,1,6,1,NA,3,NA,NA,"$200,000 ",NA,NA,90,NA,NA
3GVPRXWRPHUJVOKCYI0E33B2DQPI75,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,NA,$0.05 ,Wed Feb 15 22:13:43 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:43 PST 2017,NA,NA,3YDTZAI2WXGEZF4PEFM3WC6RFF214Y,A3S6UWT0JNCJFE,Approved,Thu Feb 16 04:47:15 PST 2017,Thu Feb 16 04:50:18 PST 2017,Thu Feb 16 04:51:18 PST 2017,2017-02-16 12:52:11 UTC,NA,NA,183,100% (75/75),100% (75/75),100% (63/63),http://www.mlsli.com/homes-for-sale/125-10-Queens-Blvd-Kew-Gardens-NY-11415-157709455,1963,no,NA,28,co-op,2/29/2016,NA,no,gas,"125-10 Queens Blvd., Kew Gardens, NY 11415",NA,efficiency,"$1,459 ",2 Bedroom,2,1,2,NA,5,$215 ,NA,"$289,550 ",NA,NA,91,NA,NA
3MIVREZQVHYK71FFUKUWGA7AAK6KQG,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,NA,$0.05 ,Wed Feb 15 22:13:41 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:41 PST 2017,NA,NA,3KB8R4ZV1E7VOTF1BDHTBDG3RW2BGE,A3H4F731EUN4Q,Approved,Thu Feb 16 04:49:50 PST 2017,Thu Feb 16 04:55:46 PST 2017,Thu Feb 16 04:56:46 PST 2017,2017-02-16 12:57:11 UTC,NA,NA,356,100% (2/2),100% (2/2),100% (2/2),http://www.mlsli.com/homes-for-sale/83-60-118-St-Kew-Gardens-NY-11415-151060768,1960,no,NA,28,co-op,3/1/2016,combo,no,oil,"83-60 118 St,  Kew Gardens NY, 11415",NA,efficiency,$655 ,one bedroom,1,12,1,NA,3,NA,NA,"$140,000 ",NA,NA,90,NA,NA
3YLTXLH3DF685ZDSOMCA3D18D7GPHQ,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,NA,$0.05 ,Wed Feb 15 22:13:48 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:48 PST 2017,NA,NA,3OB0CAO74HP51X3N5BDV4OQ5R5SYHA,A1KH9UPH0D74QJ,Approved,Thu Feb 16 02:58:15 PST 2017,Thu Feb 16 03:03:05 PST 2017,Thu Feb 16 03:04:05 PST 2017,2017-02-16 11:04:11 UTC,NA,NA,290,100% (80/80),100% (80/80),100% (80/80),http://www.mlsli.com/homes-for-sale/83-40-Austin-St-Kew-Gardens-NY-11415-166279501,1956,no,NA,28,co-op,3/1/2016,combo,no,oil,"83-40 Austin St,  Kew Gardens NY, 11415",NA,eat in,$791 ,One Bedroom,1,7,1,NA,3,NA,50,"$175,000 ",NA,NA,92,NA,NA
3OWZNK3RYLPHIEI6MN8XQFI5W5Q2UH,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,NA,$0.05 ,Wed Feb 15 22:13:43 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:43 PST 2017,NA,NA,3X66WABAJWIQLYBOWK2NTUIR34J3G9,A231MNJJDDF3LS,Approved,Thu Feb 16 02:16:23 PST 2017,Thu Feb 16 02:17:58 PST 2017,Thu Feb 16 02:18:58 PST 2017,2017-02-16 10:19:11 UTC,NA,NA,95,100% (187/187),100% (187/187),100% (187/187),http://www.mlsli.com/homes-for-sale/198-11-Dunton-Ave-Holliswood-NY-11423-148175721,1956,yes,NA,29,co-op,3/3/2016,NA,no,oil,"198-11 Dunton Ave,  Holliswood NY, 11423",NA,efficiency,$660 ,Garden Apts.,1,2,1,NA,4,NA,NA,"$150,000 ",NA,NA,72,NA,NA
378G7J1SJLYM5YJRA7IZA4CREOREWU,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,NA,$0.05 ,Wed Feb 15 22:13:33 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:33 PST 2017,NA,NA,39U1BHVTDLRUQ3XUGK1USDXGTYST39,A231MNJJDDF3LS,Approved,Thu Feb 16 02:56:23 PST 2017,Thu Feb 16 02:58:24 PST 2017,Thu Feb 16 02:59:24 PST 2017,2017-02-16 11:00:11 UTC,NA,NA,121,100% (187/187),100% (187/187),100% (187/187),http://www.mlsli.com/homes-for-sale/address-not-available-from-broker-Elmhurst-NY-11373-164368535,2008,no,$510 ,24,condo,3/3/2016,combo,no,gas,"Elmhurst NY, 11373",NA,efficiency,NA,3 Bedroom,3,9,2,NA,7,NA,NA,"$500,000 ",991,$373 ,87,NA,NA
3YLTXLH3DF685ZDSOMCA3D18D7GHPI,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,NA,$0.05 ,Wed Feb 15 22:13:37 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:37 PST 2017,NA,NA,3X4MXAO0BGOE1MMQMF71XV7V35KRWT,A231MNJJDDF3LS,Approved,Thu Feb 16 00:39:10 PST 2017,Thu Feb 16 00:40:27 PST 2017,Thu Feb 16 00:41:27 PST 2017,2017-02-16 08:42:11 UTC,NA,NA,77,100% (187/187),100% (187/187),100% (187/187),http://www.mlsli.com/homes-for-sale/144-12-Village-Rd-Briarwood-NY-11435-149761679,1948,no,NA,28,co-op,3/4/2016,NA,no,oil,"144-12 Village Rd,  Briarwood NY, 11435",NA,efficiency,$963 ,1 Bedroom/ Jr 4 (Co>,1,NA,1,NA,4,$75 ,NA,"$105,000 ",NA,NA,86,NA,NA
3M0556243SKOOIA9DHBIW3K0XD2FNM,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,NA,$0.05 ,Wed Feb 15 22:13:41 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:41 PST 2017,NA,NA,30MVJZJNHMDMR2Q5LZO0HKDTVOHJ9H,A3S6UWT0JNCJFE,Approved,Thu Feb 16 05:26:35 PST 2017,Thu Feb 16 05:28:49 PST 2017,Thu Feb 16 05:29:49 PST 2017,2017-02-16 13:30:11 UTC,NA,NA,134,100% (75/75),100% (75/75),100% (63/63),http://www.mlsli.com/homes-for-sale/33-04-Junction-Blvd-Jackson-Heights-NY-11372-155368307,1958,no,NA,24,co-op,3/4/2016,other,no,oil,"33-04 Junction Blvd., Jackson Heights, NY 11372",NA,eat in,$830 ,Cooperative,3,6,1,1,5,NA,NA,"$270,000 ",1150,NA,96,NA,NA
36D1BWBEHN1Y56DXDLHBZ51BJJN2MP,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,NA,$0.05 ,Wed Feb 15 22:13:41 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:41 PST 2017,NA,NA,33TIN5LC04ACMRL47ZP3R7SH8SPY9P,A231MNJJDDF3LS,Approved,Thu Feb 16 05:09:40 PST 2017,Thu Feb 16 05:11:47 PST 2017,Thu Feb 16 05:12:47 PST 2017,2017-02-16 13:13:11 UTC,NA,NA,127,100% (187/187),100% (187/187),100% (187/187),http://www.mlsli.com/homes-for-sale/224-43-Manor-Rd-Queens-Village-NY-11427-160022873,1955,no,NA,26,co-op,3/7/2016,combo,no,gas,"224-43 Manor Rd,  Queens Village NY, 11427",NA,efficiency,$512 ,1 Bedroom Garden Apt,1,2,1,NA,3,NA,NA,"$130,000 ",NA,NA,57,NA,NA
